ZONA,Provincia,CodigodeProvincia,Canton,CodigodeCanton,Parroquia,CodigodeParroquia,CodigoInstitucion,NombreInstitucion,TipodeEducacion,NivelEducacion,Sostenimiento,ZonaINEC,RegimenEscolar,Jurisdiccion,Modallidad,Jornada,Tenenciadelinmueble,FormaAcceso,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Estudiantes_Docentes
ZONA 8,GUAYAS,9,GUAYAQUIL,901,FEBRES CORDERO,90104,09H00195,ESCUELA DE EDUCACION BASICA PERLA DEL PACIFICO,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,19,3,22,336,405,741,33.68181818
ZONA 5,GUAYAS,9,PLAYAS,921,GENERAL VILLAMIL (PLAYAS),92150,09H05075,ESCUELA DE EDUCACION BASICA CIUDAD DE PLAYAS,Educación Regular,Educación Básica,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,5,2,7,116,123,239,34.14285714
ZONA 8,GUAYAS,9,GUAYAQUIL,901,TARQUI,90112,09H05618,HUERTO DEL EDEN  926,Educación Regular,Educación Básica,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,4,0,4,18,17,35,8.75
ZONA 1,ESMERALDAS,8,ELOY ALFARO,802,TELEMBI,80261,08B00057,CECIB PASHPI,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Bilingüe,Presencial,Matutina,Propio,Fluvial,2,1,3,45,45,90,30
ZONA 9,PICHINCHA,17,QUITO,1701,CENTRO HISTORICO,170103,17H00423,VIRGEN DEL CONSUELO,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscomisional,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,14,4,18,135,111,246,13.66666667
ZONA 7,LOJA,11,CALVAS,1102,COLAISACA,110251,11H00559,ESCUELA DE EDUCACION BASICA SAN VICENTE FERRER,Educación Regular,Educación Básica,Fiscomisional,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,1,3,4,4
ZONA 7,EL ORO,7,EL GUABO,706,RIO BONITO,70654,07H00672,ESCUELA DE EDUCACIÓN BÁSICA PROF TULA PEREZ DE VALENCIA,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,10,4,14,126,162,288,20.57142857
ZONA 1,ESMERALDAS,8,SAN LORENZO,805,SAN LORENZO,80550,08H02210,ESCUELA DE EDUCACIÓN BÁISCA  PATICULAR CARITA FELIZ,Educación Regular,Inicial y EGB,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,5,0,5,33,28,61,12.2
ZONA 9,PICHINCHA,17,QUITO,1701,CALDERON (CARAPUNGO),170155,17H04281,UNIDAD EDUCATIVA ALTO CENEPA,Educación Regular,EGB y Bachillerato,Particular Laico,RuralINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Arriendo,Terrestre,14,7,21,143,242,385,18.33333333
ZONA 7,ZAMORA CHINCHIPE,19,PALANDA,1908,EL PORVENIR DEL CARMEN,190851,19H00441,ESCUELA DE EDUCACIÓN BÁSICA HERNAN IÑIGUEZ,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,7,1,8,53,52,105,13.125
ZONA 9,PICHINCHA,17,QUITO,1701,PIFO,170175,17H01921,BAUTISTA CHARLES SPURGEON,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Religioso,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,22,6,28,186,202,388,13.85714286
ZONA 9,PICHINCHA,17,QUITO,1701,CONOCOTO,170156,17H03310,CENTRO DE DESARROLLO INFANTIL LOS PERICOS,Educación Regular,Inicial,Particular Laico,RuralINEC,Sierra,Hispana,Presencial,Matutina,Arriendo,Terrestre,3,0,3,2,10,12,4
ZONA 3,TUNGURAHUA,18,AMBATO,1801,CELIANO MONGE,180102,18H00017,UNIDAD EDUCATIVA JUAN LEON MERA LA SALLE,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Religioso,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,50,24,74,912,1130,2042,27.59459459
ZONA 5,BOLIVAR,2,GUARANDA,201,GUANUJO,20103,02H00109,EEB LUIS PASTEUR,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,3,5,8,8
ZONA 3,COTOPAXI,5,SAQUISILI,506,SAQUISILI,50650,05H00670,ESCUELA DE EDUCACION BASICA PCEI 18 DE OCTUBRE,Popular Permanente,EGB y Bachillerato,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Nocturna,Propio,Terrestre,8,1,9,210,210,420,46.66666667
ZONA 5,GUAYAS,9,BALZAR,904,BALZAR,90450,09H05284,ESCUELA DE EDUCACION BASICA  JOSE COLMENARES  TUAREZ,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Fluvial,1,0,1,3,7,10,10
ZONA 7,LOJA,11,CHAGUARPAMBA,1105,CHAGUARPAMBA,110550,11H00810,ESCUELA DE EDUCACION BASICA CELSA FILOTEA MOCHA ORDOÑEZ,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,2,1,3,3
ZONA 5,LOS RIOS,12,QUINSALOMA,1213,QUINSALOMA,121350,12H01179,ESCUELA DE EDUCACION BASICA 1 DE MAYO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,3,1,4,43,36,79,19.75
ZONA 3,COTOPAXI,5,LATACUNGA,501,POALO,50158,05H00173,ESCUELA DE EDUCACION BASICA JOSÉ VASCONCELOS,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,3,0,3,26,20,46,15.33333333
ZONA 3,CHIMBORAZO,6,RIOBAMBA,601,VELOZ,60104,06H00228,UNIDAD EDUCATIVA PRINCETON,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Laico,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,14,1,15,65,91,156,10.4
ZONA 5,LOS RIOS,12,BABAHOYO,1201,DR. CAMILO PONCE,120102,12H00096,ESCUELA DE EDUCACION BASICA JUAN E VERDESOTO,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,33,5,38,418,468,886,23.31578947
ZONA 1,ESMERALDAS,8,MUISNE,803,SAN GREGORIO,80357,08H00660,COLEGIO DE BACHILLERATO   KEPLER REYNA BARONA,Educación Regular,EGB y Bachillerato,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,7,3,10,165,127,292,29.2
ZONA 9,PICHINCHA,17,QUITO,1701,PUELLARO,170178,17H02010,LEONIDAS GARCIA,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,6,2,8,62,73,135,16.875
ZONA 5,LOS RIOS,12,PUEBLOVIEJO,1204,SAN JUAN,120452,12H00677,ESCUELA DE EDUCACION BASICA JAIME COLLANTES YANEZ,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,1,2,24,22,46,23
ZONA 5,SANTA ELENA,24,SANTA ELENA,2401,COLONCHE,240152,24H00083,2 DE JUNIO,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,12,16,28,28
ZONA 5,LOS RIOS,12,BABAHOYO,1201,CARACOL,120152,12H00167,ESCUELA DE EDUCACION BASICA MIGUEL DE SANTIAGO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,3,8,11,11
ZONA 5,LOS RIOS,12,QUEVEDO,1205,SIETE DE OCTUBRE,120507,12H00850,ESCUELA DE EDUCACION BASICA GENERAL QUISQUIS,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,17,3,20,253,270,523,26.15
ZONA 3,COTOPAXI,5,LATACUNGA,501,LA MATRIZ,50104,05H00904,ESCUELA DE EDUCACION BASICA GOTITAS DE MIEL,Educación Regular,Inicial,Particular Laico,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,4,0,4,14,24,38,9.5
ZONA 1,SUCUMBIOS,21,SHUSHUFINDI,2104,LIMONCOCHA,210451,21B00099,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE PROVINCIA DE MORONA SANTIAGO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,0,1,1,9,6,15,15
ZONA 5,GUAYAS,9,NARANJAL,911,SANTA ROSA DE FLANDES,91153,09H04340,ESCUELA DE EDUCACION BASICA MANUELA CAÑIZARES,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,15,12,27,27
ZONA 1,IMBABURA,10,OTAVALO,1004,SELVA ALEGRE,100459,10H00475,ESCUELA DE EDUCACION BASICA PROVINCIA DEL GUAYAS,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,No conoce,Terrestre,1,0,1,5,6,11,11
ZONA 8,GUAYAS,9,GUAYAQUIL,901,TARQUI,90112,09H01203,CENTRO DE EDUCACION INICIAL LOS PEQUEÑOS SABIOS,Educación Regular,Inicial y EGB,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,3,0,3,2,0,2,0.666666667
ZONA 9,PICHINCHA,17,QUITO,1701,LA CONCEPCION,170117,17H01345,LAURA BARAHONA UBIDIA,Educación Regular,Inicial,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,7,0,7,79,77,156,22.28571429
ZONA 4,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO DE LOS TSACHILAS,2301,ALLURIQUIN,230151,23H00441,DR ALFREDO BAQUERIZO MORENO,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,19,5,24,311,268,579,24.125
ZONA 1,ESMERALDAS,8,ATACAMES,806,SUA,80652,08H01292,ESCUELA DE EDUCACION BASICA  GLORIA DEL HIERRO TORRES,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,11,19,30,30
ZONA 4,MANABI,13,ROCAFUERTE,1312,ROCAFUERTE,131250,13H03110,JAIME ROLDOS AGUILERA,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,1,3,31,33,64,21.33333333
ZONA 2,PICHINCHA,17,RUMIÑAHUI,1705,SANGOLQUI,170501,17H02438,JUAN SALINAS,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,6,3,9,89,90,179,19.88888889
ZONA 5,GUAYAS,9,BALZAR,904,BALZAR,90450,09H02981,ESCUELA DE EDUCACION BASICA SANTOS ZAMBRANO LOOR,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,10,21,31,31
ZONA 5,GUAYAS,9,ALFREDO BAQUERIZO MORENO (JUJAN),902,ALFREDO BAQUERIZO MORENO (JUJAN),90250,09H02874,ESCUELA DE EDUCACION BASICA VICTOR TOMAS MANCILLA PALMA,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,3,0,3,36,41,77,25.66666667
ZONA 4,MANABI,13,JARAMIJO,1321,JARAMIJO,132150,13H04442,UNIDAD EDUCATIVA DEL MILENIO DRA GUADALUPE LARRIVA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,62,21,83,1018,1122,2140,25.78313253
ZONA 6,MORONA SANTIAGO,14,GUALAQUIZA,1402,BOMBOIZA,140253,14H00144,ESCUELA DE EDUCACION BÁSICA NOHEMI SAMANIEGO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,9,4,13,13
ZONA 6,MORONA SANTIAGO,14,GUALAQUIZA,1402,MERCEDES MOLINA,140202,14B00069,ESCUELA DE EDUCACION BASICA INTERCULTURAL BILINGUE RICARDO TANKAMASH,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,1,1,2,14,19,33,16.5
ZONA 3,CHIMBORAZO,6,COLTA,603,JUAN DE VELASCO (PANGOR),60353,06H00786,ESCUELA DE EDUCACION BASICA PEDRO CISNEROS,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,14,12,26,13
ZONA 5,GUAYAS,9,PLAYAS,921,GENERAL VILLAMIL (PLAYAS),92150,09H05073,ESCUELA DE EDUCACION BASICA PUERTO ENGABAO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,3,0,3,44,45,89,29.66666667
ZONA 6,CAÑAR,3,AZOGUES,301,COJITAMBO,30151,03H00097,ESCUELA DE EDUCACIÓN BÁSICA CAP. JUAN JOSE SALINAS,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,4,5,9,9
ZONA 8,GUAYAS,9,GUAYAQUIL,901,TARQUI,90112,09H06650,ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR RAYITO DE SOL,Educación Regular,Inicial y EGB,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,8,1,9,28,31,59,6.555555556
ZONA 4,MANABI,13,PORTOVIEJO,1301,PUEBLO NUEVO,130154,13H00625,AMIGUITOS,Educación Regular,Inicial,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,24,18,42,21
ZONA 1,SUCUMBIOS,21,CUYABENO,2107,TARAPOA,210750,21H00750,ESCUELA DE EDUCACION BASICA PROVINCIA DE CHIMBORAZO,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,4,4,8,8
ZONA 3,CHIMBORAZO,6,GUAMOTE,606,PALMIRA,60652,06B00500,GALTE YAGUACHI,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,4,2,6,59,60,119,19.83333333
ZONA 8,GUAYAS,9,GUAYAQUIL,901,XIMENA,90114,09H02449,ESCUELA DE EDUCACION BASICA FISCAL ALFREDO BARANDEARAN SAMANIEGO,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,30,4,34,452,462,914,26.88235294
ZONA 2,NAPO,15,TENA,1501,TALAG,150157,15B00106,NELSON CERDA,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,1,1,2,9,7,16,8
ZONA 4,MANABI,13,CHONE,1303,CONVENTO,130353,13H01213,ISIDORO MENDOZA NAVARRETE,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,7,6,13,13
ZONA 6,MORONA SANTIAGO,14,TIWINTZA,1412,SAN JOSE MORONA,141251,14B00063,CECIB DE EDUCACIÓN BÁSICA ANKUASH,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,0,2,2,28,37,65,32.5
ZONA 9,PICHINCHA,17,QUITO,1701,CALDERON (CARAPUNGO),170155,17H01612,ESPAÑA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,26,5,31,344,371,715,23.06451613
ZONA 7,ZAMORA CHINCHIPE,19,NANGARITZA,1903,NUEVO PARAISO,190352,19B00015,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE EDUCACIÓN BÁSICA ARUTAM,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Fluvial,0,2,2,13,14,27,13.5
ZONA 6,MORONA SANTIAGO,14,TAISHA,1409,MACUMA,140952,14B00299,CECIB DE EDUCACION BASICA  MITIAP,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,0,1,1,16,22,38,38
ZONA 9,PICHINCHA,17,QUITO,1701,EL QUINCHE,170160,17H03697,CDI CRECERE,Educación Regular,Inicial,Particular Religioso,RuralINEC,Sierra,Hispana,Presencial,Matutina,Cesión de derechos,Terrestre,4,0,4,25,29,54,13.5
ZONA 7,EL ORO,7,BALSAS,704,BELLAMARIA,70451,07H00515,ESCUELA DE EDUCACIÓN BÁSICA PROFESOR LEOVIGILDO LOAYZA LOAYZA,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,1,3,14,18,32,10.66666667
ZONA 3,CHIMBORAZO,6,ALAUSI,602,ACHUPALLAS,60251,06B00134,RIO  OZOGOCHE,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Sierra,Bilingüe,Presencial,Matutina,Propio,Terrestre,2,2,4,22,26,48,12
ZONA 9,PICHINCHA,17,QUITO,1701,PACTO,170172,17H01877,24 DE JULIO,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,18,10,28,289,275,564,20.14285714
ZONA 8,GUAYAS,9,GUAYAQUIL,901,XIMENA,90114,09H02352,ESCUELA DE EDUCACION BASICA FISCAL MERCEDES GONZALEZ DE MOSCOSO,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Comodato,Terrestre,18,0,18,187,245,432,24
ZONA 4,MANABI,13,CHONE,1303,CONVENTO,130353,13H01209,WILFRIDO LEONIDAS PINARGOTE,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,10,6,16,16
ZONA 6,AZUAY,1,GIRON,102,ASUNCION,10251,01H00968,ESCUELA DE EDUCACIÓN BÁSICA 2 DE AGOSTO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,9,11,20,20
ZONA 8,GUAYAS,9,GUAYAQUIL,901,FEBRES CORDERO,90104,09H00398,UNIDAD EDUCATIVA FISCAL JORGE ICAZA CORONEL,Educación Regular,EGB y Bachillerato,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,"Matutina, Vesperina y Nocturna",Propio,Terrestre,39,27,66,669,613,1282,19.42424242
ZONA 7,LOJA,11,CALVAS,1102,CHILE,110202,11H00529,ESCUELA DE EDUCACION BASICA CRISTOBAL COLON,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,1,2,12,12,24,12
ZONA 8,GUAYAS,9,GUAYAQUIL,901,TARQUI,90112,09H01554,ESCUELA DE EDUCACION BASICA FISCAL LEON DE FEBRES CORDERO,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,9,1,10,94,97,191,19.1
ZONA 8,GUAYAS,9,GUAYAQUIL,901,TARQUI,90112,09H05713,UNIDAD EDUCATIVA FISCAL AMERICA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,35,11,46,796,855,1651,35.89130435
ZONA 5,LOS RIOS,12,PALENQUE,1209,PALENQUE,120950,12H01488,ESCUELA DE EDUCACION BASICA SAN SALVADOR,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,5,1,6,61,59,120,20
ZONA 4,MANABI,13,CHONE,1303,SANTA RITA,130302,13H01035,MARCO ANTONIO ARAY,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,4,2,6,6
ZONA 7,LOJA,11,PALTAS,1109,LAURO GUERRERO,110954,11H01200,UNIDAD EDUCATIVA TCNEL LAURO GUERRERO,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,11,3,14,104,98,202,14.42857143
ZONA 1,IMBABURA,10,OTAVALO,1004,SELVA ALEGRE,100459,10H00476,ESCUELA DE EDUCACIÓN BÁSICA MANUEL MESIAS BENALCAZAR,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,4,4,8,8
ZONA 1,SUCUMBIOS,21,PUTUMAYO,2103,SANTA ELENA,210354,21H00800,ESCUELA DE EDUCACIÓN BÁSICA JUAN SALINAS,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Fluvial,0,1,1,3,5,8,8
ZONA 8,GUAYAS,9,GUAYAQUIL,901,TARQUI,90112,09H05937,UNIDAD EDUCATIVA PARTICULAR MARGARITA AMESTOY DE SANCHEZ,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,97,23,120,665,669,1334,11.11666667
ZONA 9,PICHINCHA,17,QUITO,1701,TURUBAMBA,170132,17H01039,SAN JUAN BOSCO,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Laico,UrbanaINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,5,2,7,204,186,390,55.71428571
ZONA 2,ORELLANA,22,LORETO,2204,SAN JOSE DE DAHUANO,220454,22H00534,ESCUELA DE EDUCACION BASICA HNO CASIMIRO PERETTI,Educación Regular,Educación Básica,Fiscomisional,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,19,21,40,40
ZONA 8,GUAYAS,9,GUAYAQUIL,901,TARQUI,90112,09H00891,ESCUELA DE EDUCACION BASICA FISCAL  FRANCISCO ZEVALLOS REYRE,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,14,2,16,211,263,474,29.625
ZONA 3,COTOPAXI,5,LATACUNGA,501,IGNACIO FLORES (PARQUE FLORES),50102,05H00112,UNIDAD EDUCATIVA RAMON BARBA NARANJO,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,62,59,121,709,1770,2479,20.48760331
ZONA 7,LOJA,11,CELICA,1104,POZUL (SAN JUAN DE POZUL),110455,11H00768,ESCUELA DE EDUCACION BASICA ZOILA UGARTE DE LANDIVAR,Educación Regular,Inicial y EGB,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,8,2,10,83,67,150,15
ZONA 7,LOJA,11,PUYANGO,1110,CIANO,111051,11H01309,ESCUELA DE EDUCACION BASICA MANUEL QUIROGA,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,2,0,2,17,18,35,17.5
ZONA 3,TUNGURAHUA,18,AMBATO,1801,HUACHI LORETO,180104,18H00065,UNIDAD EDUCATIVA  EMANUEL,Educación Regular,"Inicial, Educación Básica y Bachillerato",Particular Religioso,UrbanaINEC,Sierra,Hispana,Presencial,Matutina y Vespertina,Propio,Terrestre,9,4,13,171,156,327,25.15384615
ZONA 1,CARCHI,4,MONTUFAR,405,PIARTAL,40555,04H00397,JOSE BRICEÑO AUZ,Educación Regular,Educación Básica,Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,0,1,1,8,6,14,14
ZONA 5,GUAYAS,9,PLAYAS,921,GENERAL VILLAMIL (PLAYAS),92150,09H05060,UNIDAD EDUCATIVA D' GIOVANNI BOSCO,Educación Regular,EGB y Bachillerato,Particular Laico,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Arriendo,Terrestre,3,4,7,34,33,67,9.571428571
ZONA 7,LOJA,11,PUYANGO,1110,ALAMOR,111050,11H01287,ESCUELA DE EDUCACION BASICA SANTIAGO DE LAS MONTAÑAS,Educación Regular,Educación Básica,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,1,0,1,4,5,9,9
ZONA 2,NAPO,15,TENA,1501,TENA,150150,15H00344,UNIDAD EDUCATIVA RUBÉN CEVALLOS VEGA,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,UrbanaINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,10,10,20,105,120,225,11.25
ZONA 1,ESMERALDAS,8,SAN LORENZO,805,SAN LORENZO,80550,08H01188,INSTTITUTO FISCOMISIONAL GRATUITO EDUCACION ESPECIAL NUEVOS PASOS,Educación Especial,Inicial y EGB,Fiscomisional,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,16,1,17,44,53,97,5.705882353
ZONA 4,MANABI,13,OLMEDO,1318,OLMEDO,131850,13H04065,ESCUELA DE EDUCACION BASICA FISCAL SIMON RODRIGUEZ,Educación Regular,Inicial y EGB,Fiscal,UrbanaINEC,Costa,Hispana,Presencial,Matutina,Propio,Terrestre,9,0,9,112,117,229,25.44444444
ZONA 6,CAÑAR,3,CAÑAR,303,GENERAL MORALES (SOCARTE),30353,03B00034,CECIB DE EDUCACION BASICA JOSE JOAQUIN DE OLMEDO,Educación Regular,Educación Básica,Fiscal,RuralINEC,Costa,Bilingüe,Presencial,Matutina,Propio,Terrestre,1,0,1,6,6,12,12
ZONA 1,CARCHI,4,MONTUFAR,405,CRISTOBAL COLON,40551,04H00368,UNIDAD EDUCATIVA CRISTOBAL COLON,Educación Regular,"Inicial, Educación Básica y Bachillerato",Fiscal,RuralINEC,Sierra,Hispana,Presencial,Matutina,Propio,Terrestre,21,8,29,222,235,457,15.75862069
ZONA 8,GUAYAS,9,GUAYAQUIL,901,PASCUALES,90115,09H06122,UNIDAD EDUCATIVA DEL GUAYAS EXTENSION SAN PEDRO DE DAULAR,Popular Permanente,EGB y Bachillerato,Fiscomisional,UrbanaINEC,Costa,Hispana,Presencial,Matutina,No conoce,Terrestre,3,2,5,36,27,63,12.6
